AFEGANE AFEGANIST;AFN;AFEGANISTAO
RANDE/AFRICA SUL;ZAR;AFRICA DO SUL
LEK ALBANIA REP;ALL;ALBANIA, REPUBLICA DA
MARCO ALEMAO;DEM;ALEMANHA
PESETA/ANDORA;ADP;ANDORRA
KWANZA/ANGOLA;AOA;ANGOLA
RIAL/ARAB SAUDITA;SAR;ARABIA SAUDITA
DINAR ARGELINO;DZD;ARGELIA
AUSTRAL;ARG;ARGENTINA
PESO ARGENTINO;$(ARG);ARGENTINA
PESO ARGENTINO;ARS;ARGENTINA
DRAM ARMENIA REP;AMD;ARMENIA, REPUBLICA DA
FLORIM/ARUBA;AWG;ARUBA
DOLAR AUSTRALIANO;AUD;AUSTRALIA
XELIM AUSTRIACO;ATS;AUSTRIA
MANAT ARZEBAIJAO;AZN;AZERBAIJAO, REPUBLICA DO
DOLAR/BAHAMAS;BSD;BAHAMAS, ILHAS
DINAR/BAHREIN;BHD;BAHREIN, ILHAS
TACA/BANGLADESH;BDT;BANGLADESH
DOLAR/BARBADOS;BBD;BARBADOS
RUBLO BELARUS;BYR;BELARUS, REPUBLICA DA
RUBLO BELARUS;BYN;BELARUS, REPUBLICA DA
FRANCO BELGA/BELG;BEF;BELGICA
DOLAR/BELIZE;BZD;BELIZE
DOLAR/BERMUDAS;BMD;BERMUDAS
BOLIVIANO/BOLIVIA;BOB;BOLIVIA
PESO BOLIVIANO;$B;BOLIVIA
MARCO CONV BOSNIA;BAM;BOSNIA-HERZEGOVINA (REPUBLICA DA)
PULA/BOTSWANA;BWP;BOTSUANA
CRUZADO NOVO;NCZ$;BRASIL
CRUZADO;CZ$;BRASIL
CRUZEIRO;CR$;BRASIL
CRUZEIRO;CR$;BRASIL
CRUZEIRO REAL;CR$;BRASIL
REAL BRASIL;BRL;BRASIL
DOLAR BRUNEI;BND;BRUNEI
LEV/BULGARIA, REP;BGN;BULGARIA, REPUBLICA DA
FRANCO/BURUNDI;BIF;BURUNDI
NGULTRUM/BUTAO;BTN;BUTAO
ESCUDO CABO VERDE;CVE;CABO VERDE, REPUBLICA DE
RIEL/CAMBOJA;KHR;CAMBOJA
DOLAR CANADENSE;CAD;CANADA
RIAL/CATAR;QAR;CATAR
DOLAR CAYMAN;KYD;CAYMAN, ILHAS
TENGE CAZAQUISTAO;KZT;CAZAQUISTAO, REPUBLICA DO
UNIDADE DE FOMENTO DO CHILE;CLF;CHILE
PESO CHILE;CLP;CHILE
UNID FOMENTO CHIL;CLF;CHILE
RENMINBI CHINES;CNY;CHINA, REPUBLICA POPULAR
LIBRA CIP/CHIPRE;CYP;CHIPRE
DOLAR CINGAPURA;SGD;CINGAPURA
PESO/COLOMBIA;COP;COLOMBIA
UNIDADE DE VALOR REAL;COU;COLOMBIA
FRANCO COMORES;KMF;COMORES, ILHAS
FRANCO CONGOLES;CDF;CONGO, REPUBLICA DEMOCRATICA DO
NOVO ZAIRE ZAIRE;ZRN;CONGO, REPUBLICA DEMOCRATICA DO
NOVO ZAIRE;ZRN;CONGO, REPUBLICA DEMOCRATICA DO
WON/COREIA NORTE;KPW;COREIA, REP.POP.DEMOCRATICA
WON COREIA SUL;KRW;COREIA, REPUBLICA DA
BUA;BUA;COSTA DO MARFIM
FUA;FUA;COSTA DO MARFIM
COLON/COSTA RICA;CRC;COSTA RICA
DINAR/KWAIT;KWD;COVEITE
KUNA DA CROACIA;HRK;CROACIA (REPUBLICA DA)
PESO/CUBA;CUP;CUBA
COROA DINAMARQUESA;DKK;DINAMARCA
FRANCO/DJIBUTI;DJF;DJIBUTI
LIBRA/EGITO;EGP;EGITO
COLON/EL SALVADOR;SVC;EL SALVADOR
DIRHAM/EMIR.ARABE;AED;EMIRADOS ARABES UNIDOS
SUCRE EQUADOR;ECS;EQUADOR
NAKFA DA ERITREIA;ERN;ERITREIA
COROA ESLOVACA;SKK;ESLOVACA, REPUBLICA
TOLAR/ESLOVENIA;SIT;ESLOVENIA, REPUBLICA DA
PESETA ESPANHOLA;ESP;ESPANHA
COROA ESTONIA;EEK;ESTONIA, REPUBLICA DA
BIRR/ETIOPIA;ETB;ETIOPIA
LIBRA/FALKLAND;FKP;FALKLAND (ILHAS MALVINAS)
DOLAR FIJI;FJD;FIJI
PESO/FILIPINAS;PHP;FILIPINAS
MARCO FINLANDES;FIM;FINLANDIA
NOVO DOLAR/TAIWAN;TWD;FORMOSA (TAIWAN)
FRANCO FRANCES;FRF;FRANCA
DALASI/GAMBIA;GMD;GAMBIA
CEDI GANA;GHS;GANA
LARI GEORGIA;GEL;GEORGIA, REPUBLICA DA
LIBRA DE GIBRALTAR;GIP;GIBRALTAR
DRACMA/GRECIA;GRD;GRECIA
QUETZAL/GUATEMALA;GTQ;GUATEMALA
DOLAR DA GUIANA;GYD;GUIANA
FRANCO/GUINE;GNF;GUINE
PESO GUINE BISSAU;GWP;GUINE-BISSAU
GOURDE HAITI;HTG;HAITI
LEMPIRA/HONDURAS;HNL;HONDURAS
DOLAR HONG KONG;HKD;HONG KONG
FORINT/HUNGRIA;HUF;HUNGRIA, REPUBLICA DA
RIAL/IEMEN;YER;IEMEN
RUPIA/INDIA;INR;INDIA
RUPIA/INDONESIA;IDR;INDONESIA
RIAL/IRAN, REP;IRR;IRA, REPUBLICA ISLAMICA DO
DINAR/IRAQUE;IQD;IRAQUE
LIBRA/IRLANDA;IEP;IRLANDA
COROA ISLND/ISLAN;ISK;ISLANDIA
SHEKEL/ISRAEL;ILS;ISRAEL
LIRA ITALIANA;ITL;ITALIA
DOLAR/JAMAICA;JMD;JAMAICA
IENE;JPY;JAPAO
DINAR/JORDANIA;JOD;JORDANIA
QUIPE/LAOS, REP;LAK;LAOS, REP.POP.DEMOCR.DO
LOTI/LESOTO;LSL;LESOTO
LAT LETONIA REP;LVL;LETONIA, REPUBLICA DA
LIBRA/LIBANO;LBP;LIBANO
DOLAR LIBERIA;LRD;LIBERIA
DINAR/LIBIA;LYD;LIBIA
LITA LITUANIA;LTL;LITUANIA, REPUBLICA DA
FRANCO LUXEMBURGO;LUF;LUXEMBURGO
PATACA/MACAU;MOP;MACAU
DINAR/MACEDONIA;MKD;MACEDONIA DO NORTE
FRANCO MALGAXE MADAGA;MGF;MADAGASCAR
ARIARY MADAGASCAR;MGA;MADAGASCAR
DOLAR MALAIO;M$;MALASIA
RINGGIT/MALASIA;MYR;MALASIA
QUACHA/MALAVI;MWK;MALAVI
RUFIA/MALDIVAS;MVR;MALDIVAS
LIRA/MALTA;MTL;MALTA
DIRHAM/MARROCOS;MAD;MARROCOS
RUPIA/MAURICIO;MUR;MAURICIO
UGUIA MAURITANIA;MRO;MAURITANIA
UGUIA MAURITANIA;MRU;MAURITANIA
PESO MEXICANO;MEX$;MEXICO
PESO/MEXICO;MXN;MEXICO
QUIATE/BIRMANIA;MMK;MIANMAR (BIRMANIA)
METICAL MOCAMBIQ;MZM;MOCAMBIQUE
NOVA METICAL/MOCA;MZN;MOCAMBIQUE
LEU/MOLDAVIA, REP;MDL;MOLDAVIA, REPUBLICA DA
TUGRIK/MONGOLIA;MNT;MONGOLIA
DOLAR DA NAMIBIA;NAD;NAMIBIA
RUPIA/NEPAL;NPR;NEPAL
CORDOBA OURO;NIO;NICARAGUA
NAIRA NIGERIA;NGN;NIGERIA
COROA NORUEGUESA;NOK;NORUEGA
RIAL/OMA;OMR;OMA
FLORIM HOLANDES;NLG;PAISES BAIXOS (HOLANDA)
BALBOA/PANAMA;PAB;PANAMA
KINA DE PAPUA NOVA GUINE;PGK;PAPUA NOVA GUINE
RUPIA/PAQUISTAO;PKR;PAQUISTAO
GUARANI/PARAGUAI;PYG;PARAGUAI
INTI PERUANO;I;PERU
NOVO SOL/PERU;PEN;PERU
SOL PERUANO;S/.;PERU
FRANCO CFP;XPF;POLINESIA FRANCESA
ZLOTY/POLONIA;PLN;POLONIA, REPUBLICA DA
ESCUDO PORTUGUES;PTE;PORTUGAL
XELIM/QUENIA;KES;QUENIA
SOM DO QUIRGUISTAO;KGS;QUIRGUIZ, REPUBLICA
PESO/REP. DOMINIC;DOP;REPUBLICA DOMINICANA
LEU/ROMENIA;ROL;ROMENIA
NOVO LEU DA ROMENIA;RON;ROMENIA
FRANCO/RUANDA;RWF;RUANDA
RUBLO/RUSSIA;RUB;RUSSIA, FEDERACAO DA
DOLAR DAS ILHAS SALOMAO;SBD;SALOMAO, ILHAS
TALA;WS$;SAMOA
TALA DA SAMOA OCIDENTAL;WST;SAMOA
TALA SAMOA;WST;SAMOA
LIBRA DE SANTA HELENA;SHP;SANTA HELENA
DOBRA S TOME PRIN;STD;SAO TOME E PRINCIPE, ILHAS
DOBRA SÃO TOMÉ E PRÍNCIPE;STN;SAO TOME E PRINCIPE, ILHAS
LEONE/SERRA LEOA;SLL;SERRA LEOA
DINAR IUGOSLAVO;DIN;SERVIA
DINAR SERVIO SERVIA;RSD;SERVIA
NOVO DINAR IUGOSLAVO;YUM;SERVIA
RUPIA SEYCHELES;SCR;SEYCHELLES
LIBRA/SIRIA, REP;SYP;SIRIA, REPUBLICA ARABE DA
XELIM/SOMALIA;SOS;SOMALIA
RUPIA/SRI LANKA;LKR;SRI LANKA
LILANGENI/SUAZIL;SZL;SUAZILANDIA
NOVA LIBRA SUDANESA;SDG;SUDAO
LIBRA SUDANESA;LSD;SUDAO
LIBRA SUL SUDANESA;SSP;SUDAO DO SUL
COROA SUECA;SEK;SUECIA
DOLAR DO SURINAME;SRD;SURINAME
FLORIM/SURINAME;SRG;SURINAME
DOLAR/SURINAME;SRD;SURINAME
SOMONI TADJIQUISTAO;TJS;TADJIQUISTAO, REPUBLICA DO
BATH/TAILANDIA;THB;TAILANDIA
XELIM TANZANIA;T SH;TANZANIA, REP.UNIDA DA
XELIM DA TANZANIA;TZS;TANZANIA, REP.UNIDA DA
COROA TCHECA;CZK;TCHECA, REPUBLICA
ESCUDO TIMOR LESTE;TPE;TIMOR LESTE
PAANGA/TONGA;TOP;TONGA
DOLAR/TRIN. TOBAG;TTD;TRINIDAD E TOBAGO
DINAR/TUNISIA;TND;TUNISIA
NOVO MANAT TURCOMANO;TMT;TURCOMENISTAO, REPUBLICA DO
LIRA TURQUIA;TRL;TURQUIA
LIRA TURCA;TRY;TURQUIA
HRYVNIA UCRANIA;UAH;UCRANIA
XELIM/UGANDA;UGX;UGANDA
PESO/URUGUAIO;UYU;URUGUAI
SOM UZBEQUISTAO;UZS;UZBEQUISTAO, REPUBLICA DO
VATU VANUATU;VUV;VANUATU
BOLIVAR/VENZUELA;VEB;VENEZUELA
BOLIVAR VENEZUELANO;VEF;VENEZUELA
BOLIVAR SOBERANO VENEZUELANO;VES;VENEZUELA
DONGUE/VIETNAN;VND;VIETNA
QUACHA ZAMBIA;ZMK;ZAMBIA
QUACHA ZAMBIA;ZMW;ZAMBIA
DOLAR ZIMBABUE;ZWL;ZIMBABUE
